01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
16/3825,"詠行騰蔓菁食薦屋ａ歌","食薦敷 蔓菁煮将来 ａ尓 行騰懸而 息此公","食薦敷き青菜煮て来む梁にむかばき懸けて休むこの君","すごもしき あをなにてこむ うつはりに むかばきかけて やすむこのきみ","なし","なし","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠 植物","すごもしき,[寛]すこもしき,#あをなにてこむ,[寛]あをなにもてこ,#うつはりに[寛],#むかばきかけて,[寛]むかはきかけて,#やすむこのきみ[寛],##"
16/3826,"詠荷葉歌","蓮葉者 如是許曽有物 意吉麻呂之 家在物者 <宇>毛乃葉尓有之","蓮葉はかくこそあるもの意吉麻呂が家なるものは芋の葉にあらし","はちすばは かくこそあるもの おきまろが いへなるものは うものはにあらし","なし","荢 -> 宇 [尼][類][古]","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠 植物","はちすばは,[寛]はちすはは,#かくこそあるもの,[寛]かくこそあれも,#おきまろが,[寛]おきまろか,#いへなるものは[寛],#うものはにあらし,[寛]いものはにあらし,##"
16/3827,"詠雙六頭歌","一二之目 耳不有 五六三 四佐倍有<来> 雙六乃佐叡","一二の目のみにはあらず五六三四さへありけり双六のさえ","いちにのめ のみにはあらず ごろくさむ しさへありけり すぐろくのさえ","なし","<> -> 来 [古]","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠","いちにのめ[寛],#のみにはあらず,[寛]のみにはあらす,#ごろくさむ,[寛]ころくさむ,#しさへありけり[寛],#すぐろくのさえ,[寛]すくろくのさい,##"
16/3828,"詠香塔厠<屎>鮒奴歌","香塗流 塔尓莫依 川隈乃 屎鮒喫有 痛女奴","香塗れる塔にな寄りそ川隈の屎鮒食めるいたき女奴","かうぬれる たふになよりそ かはくまの くそふなはめる いたきめやつこ","なし","屎 [西（上書訂正）][尼][類][古]","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠 動物","かうぬれる[寛],#たふになよりそ,[寛]たうになよりそ,#かはくまの,[寛]かはすみの,#くそふなはめる[寛],#いたきめやつこ[寛],##"
16/3829,"詠酢醤蒜鯛水ク歌","醤酢尓 蒜都伎合而 鯛願 吾尓勿所見 水ク乃煮物","醤酢に蒜搗きかてて鯛願ふ我れにな見えそ水葱の羹","ひしほすに ひるつきかてて たひねがふ われになみえそ なぎのあつもの","なし","なし","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠 植物 動物","ひしほすに[寛],#ひるつきかてて[寛],#たひねがふ,[寛]たいねかふ,#われになみえそ,[寛]われになみせそ,#なぎのあつもの,[寛]なきのあつもの,##"
16/3830,"詠玉掃鎌天木香棗歌","玉掃 苅来鎌麻呂 室乃樹 與棗本 可吉将掃為","玉掃刈り来鎌麻呂むろの木と棗が本とかき掃かむため","たまばはき かりこかままろ むろのきと なつめがもとと かきはかむため","なし","なし","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠 植物","たまばはき,[寛]たまははき,#かりこかままろ[寛],#むろのきと[寛],#なつめがもとと,[寛]なつめかもとと,#かきはかむため[寛],##"
16/3831,"詠白鷺啄木飛歌","池神 力土儛可母 白鷺乃 桙啄持而 飛渡良武","池神の力士舞かも白鷺の桙啄ひ持ちて飛び渡るらむ","いけがみの りきじまひかも しらさぎの ほこくひもちて とびわたるらむ","なし","なし","雑歌 物名 宴席 作者：長意吉麻呂 戯笑 即興 誦詠 動物","いけがみの,[寛]いけかみの,#りきじまひかも,[寛]りきしまひかも,#しらさぎの,[寛]しらさきの,#ほこくひもちて[寛],#とびわたるらむ,[寛]とひわたるらむ,##"
16/3832,"忌部首詠數種物歌一首 [名忘失也]","枳 蕀原苅除曽氣 倉将立 屎遠麻礼 櫛造刀自","からたちと茨刈り除け倉建てむ屎遠くまれ櫛造る刀自","からたちと うばらかりそけ くらたてむ くそとほくまれ くしつくるとじ","なし","なし","雑歌 作者：忌部首 物名 宴席 戯笑 誦詠 即興 植物","からたちと,[寛]からたちの,#うばらかりそけ,[寛]むはらかりそけ,#くらたてむ[寛],#くそとほくまれ[寛],#くしつくるとじ,[寛]くしつくるとし,##"
16/3833,"境部王詠數種物歌一首 [穂積親王之子也]","虎尓乗 古屋乎越而 青淵尓 鮫龍取将来 劒刀毛我","虎に乗り古屋を越えて青淵に蛟龍捕り来む剣太刀もが","とらにのり ふるやをこえて あをふちに みつちとりこむ つるぎたちもが","なし","なし","雑歌 動物 作者：境部王 物名 宴席 即興 穂積王 誦詠","とらにのり[寛],#ふるやをこえて[寛],#あをふちに[寛],#みつちとりこむ,[寛]さめとりてこむ,#つるぎたちもが,[寛]つるきたちもか,##"
16/3834,"作主未詳歌一首","成棗 寸三二粟嗣 延田葛乃 後毛将相跡 葵花咲","梨棗黍に粟つぎ延ふ葛の後も逢はむと葵花咲く","なしなつめ きみにあはつぎ はふくずの のちもあはむと あふひはなさく","なし","なし","雑歌 植物 物名 宴席 誦詠 戯笑 譬喩 掛詞 序詞","なしなつめ[寛],#きみにあはつぎ,[寛]きみにあはつき,#はふくずの,[寛]はふくすの,#のちもあはむと[寛],#あふひはなさく[寛],##"
16/3835,"獻新田部親王歌一首 [未詳]","勝間田之 池者我知 蓮無 然言君之 鬚無如之","勝間田の池は我れ知る蓮なししか言ふ君が鬚なきごとし","かつまたの いけはわれしる はちすなし しかいふきみが ひげなきごとし","右或有人聞之曰 新田部親王出遊于堵裏御見勝間田之池感緒御心之中 還自彼池不任怜愛 於時語婦人曰 今日遊行見勝<間>田池 水影涛々蓮花 灼々 Ａ怜断腸不可得言 尓乃婦人作此戯歌專輙吟詠也","<> -> 間 [古][温][矢][京]","雑歌 伝承 新田部皇子 植物 地名 奈良 物名 戯笑 宴席","かつまたの[寛],#いけはわれしる[寛],#はちすなし[寛],#しかいふきみが,[寛]しかいふきみか,#ひげなきごとし,[寛]ひけなきかこと,##"
16/3836,"謗<侫>人歌一首","奈良山乃 兒手柏之 兩面尓 左毛右毛 <侫>人之友","奈良山の児手柏の両面にかにもかくにも侫人の伴","ならやまの このてかしはの ふたおもに かにもかくにも こびひとのとも","右歌一首博士消奈行文大夫作之","俀 -> 侫 [尼][細][温] / 俀 -> 侫 [尼]","雑歌 作者：消奈行文 嘲笑 戯笑 宴席 地名 奈良 植物","ならやまの[寛],#このてかしはの[寛],#ふたおもに[寛],#かにもかくにも[寛],#こびひとのとも,[寛]ねしけひとかも,##"
16/3837,"なし","久堅之 雨毛落奴可 蓮荷尓 渟在水乃 玉似<有将>見","ひさかたの雨も降らぬか蓮葉に溜まれる水の玉に似たる見む","ひさかたの あめもふらぬか はちすばに たまれるみづの たまににたるみむ","右歌一首傳云 有右兵衛[姓名未詳] 多能歌作之藝也 于時府家備設酒食 饗宴府官人等 於是饌食盛之皆用荷葉 諸人酒酣歌儛駱驛 乃誘兵衛云 <關>其荷葉而作<歌>者 登時應聲作斯歌也","将有 -> 有将 [代匠記初稿本] / 歌 [西] 哥 / 歌 [西] 哥 / 開 -> 關 [温] / 此歌 -> 歌 [尼][類][古]","雑歌 枕詞 宴席 誦詠 物名 即興 伝承","ひさかたの[寛],#あめもふらぬか[寛],#はちすばに,[寛]はちすはに,#たまれるみづの,[寛]たまれるみつの,#たまににたるみむ,[寛]たまににむみむ,##"
16/3838,"無心所著歌二首","吾妹兒之 額尓生<流> 雙六乃 事負乃牛之 倉上之瘡","我妹子が額に生ふる双六のこと負の牛の鞍の上の瘡","わぎもこが ひたひにおふる すぐろくの ことひのうしの くらのうへのかさ","（右歌者舎人親王令侍座曰 或有作無所由之歌人者賜以錢帛 于時大舎人 安倍朝臣子祖父乃作斯歌獻上 登時以所募物錢二千文給之也）","<> -> 流 [尼][類][古][紀]","雑歌 作者：安倍子祖父 舎人親王 即興 宴席 報償 伝承 誦詠","わぎもこが,[寛]わきもこか,#ひたひにおふる,[寛]ひたいにおふる,#すぐろくの,[寛]すくろくの,#ことひのうしの[寛],#くらのうへのかさ[寛],##"
16/3839,"（無心所著歌二首）","吾兄子之 犢鼻尓為流 都夫礼石之 吉野乃山尓 氷魚曽懸有 [懸有反云 佐<我>礼流]","我が背子が犢鼻にするつぶれ石の吉野の山に氷魚ぞ下がれる [懸有反云 佐<我>礼流]","わがせこが たふさきにする つぶれいしの よしののやまに ひをぞさがれる","右歌者舎人親王令侍座曰 或有作無所由之歌人者賜以錢帛 于時大舎人 安倍朝臣子祖父乃作斯歌獻上 登時以所募物錢二千文給之也","家 -> 我 [類][古] （塙） [尼] 義 / 歌 [西] 哥","雑歌 作者：安倍子祖父 舎人親王 即興 宴席 報償 伝承 誦詠 地名 吉野 奈良","わがせこが,[寛]わかせこか,#たふさきにする[寛],#つぶれいしの,[寛]つふれいしの,#よしののやまに[寛],#ひをぞさがれる,[寛]ひをそさかれる,##"
16/3840,"池田朝臣嗤大神朝臣奥守歌一首 [池田朝臣名忘失也]","寺々之 女餓鬼申久 大神乃 男餓鬼被給而 其子将播","寺々の女餓鬼申さく大神の男餓鬼賜りてその子産まはむ","てらてらの めがきまをさく おほかみの をがきたばりて そのこうまはむ","なし","なし","雑歌 作者：池田真枚 大神奥守 嘲笑 戯笑 誦詠","てらてらの[寛],#めがきまをさく,[寛]めかきまうさく,#おほかみの,[寛]おほうわの,#をがきたばりて,[寛]をかきたはりて,#そのこうまはむ,[寛]そのこはをまむ,##"
16/3841,"大神朝臣奥守報嗤歌一首","佛造 真朱不足者 水渟 池田乃阿曽我 鼻上乎穿礼","仏造るま朱足らずは水溜まる池田の朝臣が鼻の上を掘れ","ほとけつくる まそほたらずは みづたまる いけだのあそが はなのうへをほれ","なし","歌 [西] 哥","雑歌 作者：大神奥守 池田真枚 嘲笑 戯笑 誦詠","ほとけつくる[寛],#まそほたらずは,[寛]あかにたらすは,#みづたまる,[寛]みつたまる,#いけだのあそが,[寛]いけたのあそか,#はなのうへをほれ[寛],##"
16/3842,"或云 / 平群朝臣<嗤>歌一首","小兒等 草者勿苅 八穂蓼乎 穂積乃阿曽我 腋草乎可礼","童ども草はな刈りそ八穂蓼を穂積の朝臣が腋草を刈れ","わらはども くさはなかりそ やほたでを ほづみのあそが わきくさをかれ","なし","<> -> 嗤 [尼][古][紀]","雑歌 作者：平群広成 穂積老人 嘲笑 戯笑 誦詠 枕詞","わらはども,[寛]わらはへも,#くさはなかりそ[寛],#やほたでを,[寛]やほたてを,#ほづみのあそが,[寛]ほつみのあそか,#わきくさをかれ[寛],##"
16/3843,"穂積朝臣和歌一首","何所曽 真朱穿岳 薦疊 平群乃阿曽我 鼻上乎穿礼","いづくにぞま朱掘る岡薦畳平群の朝臣が鼻の上を掘れ","いづくにぞ まそほほるをか こもたたみ へぐりのあそが はなのうへをほれ","なし","歌 [西] 謌","雑歌 作者：穂積老人 平群広成 嘲笑 戯笑 誦詠 枕詞","いづくにぞ,[寛]いとこにそ,#まそほほるをか,[寛]あかにほるをか,#こもたたみ[寛],#へぐりのあそが,[寛]へくりのあそか,#はなのうへをほれ[寛],##"
16/3844,"嗤咲黒色歌一首","烏玉之 斐太乃大黒 毎見 巨勢乃小黒之 所念可聞","ぬばたまの斐太の大黒見るごとに巨勢の小黒し思ほゆるかも","ぬばたまの ひだのおほぐろ みるごとに こせのをぐろし おもほゆるかも","（右歌者傳云 有大舎人土師宿祢水通字曰志婢麻呂也 於時大舎人巨勢朝臣豊人字曰正月麻呂 与巨勢斐太朝臣[名字忘之也 嶋村大夫之男也]兩人並 此彼皃黒色焉 於是土師宿祢水通作斯歌<嗤>咲者 <而>巨勢朝臣豊人聞之 即作和歌酬咲也）","なし","雑歌 枕詞 作者：土師水通 巨勢斐太 巨勢豊人 嘲笑 戯笑 誦詠","ぬばたまの,[寛]ぬはたまの,#ひだのおほぐろ,[寛]ひたのおほくろ,#みるごとに,[寛]みることに,#こせのをぐろし,[寛]こせのをくろか,#おもほゆるかも[寛],##"
16/3845,"答歌一首","造駒 土師乃志婢麻呂 白<久>有者 諾欲将有 其黒色乎","駒造る土師の志婢麻呂白くあればうべ欲しからむその黒色を","こまつくる はじのしびまろ しろくあれば うべほしからむ そのくろいろを","右歌者傳云 有大舎人土師宿祢水通字曰志婢麻呂也 於時大舎人巨勢朝臣 豊人字曰正月麻呂 与巨勢斐太朝臣[名字忘之也 嶋村大夫之男也]兩人並 此彼皃黒色焉 於是土師宿祢水通作斯歌<嗤>咲者 <而>巨勢朝臣豊人聞之 即作和歌酬咲也","尓 -> 久 [尼][類][古] / <> -> 嗤 [西（右書）][尼][類][紀] / <> -> 而 [尼][類][紀]","雑歌 土師水通 巨勢斐太 作者：巨勢豊人 嘲笑 戯笑 誦詠","こまつくる[寛],#はじのしびまろ,[寛]はしのしひまろ,#しろくあれば,[寛]しろにあれは,#うべほしからむ,[寛]さもほしからむ,#そのくろいろを[寛],##"
16/3846,"戯嗤僧歌一首","法師等之 鬚乃剃杭 馬繋 痛勿引曽 僧半甘","法師らが鬚の剃り杭馬繋いたくな引きそ法師は泣かむ","ほふしらが ひげのそりくひ うまつなぎ いたくなひきそ ほふしはなかむ","なし","なし","雑歌 戯笑 嘲笑","ほふしらが,[寛]ほふしらか,#ひげのそりくひ,[寛]ひけのそりくひ,#うまつなぎ,[寛]うまつなき,#いたくなひきそ[寛],#ほふしはなかむ,[寛]ほうしなからかも,##"
16/3847,"法師報歌一首","檀越也 然勿言 <五十>戸<長>我 課役徴者 汝毛半甘","壇越やしかもな言ひそ里長が課役徴らば汝も泣かむ","だにをちや しかもないひそ さとをさが えだちはたらば いましもなかむ","なし","弖 -> 五十 [万葉集古義] / 等 -> 長 [万葉集新考]","雑歌 報贈 作者：僧 戯笑 嘲笑","だにをちや,[寛]たむをちや,#しかもないひそ[寛],#さとをさが,[寛]てこらわか,#えだちはたらば,[寛]えたすはたらは,#いましもなかむ,[寛]なれもなからかも,##"
16/3848,"夢裏作歌一首","荒城田乃 子師田乃稲乎 倉尓擧蔵而 阿奈干稲<々々>志 吾戀良久者","あらき田の鹿猪田の稲を倉に上げてあなひねひねし我が恋ふらくは","あらきたの ししだのいねを くらにあげて あなひねひねし あがこふらくは","右歌一首忌部首黒麻呂夢裏作此戀歌贈友 覺而<令>誦習如前","干稲 -> 々々 [尼][類][古] / 不 -> 令 [西（訂正左書）][矢][京]","雑歌 作者：忌部黒麻呂 伝承 序詞 恋情 説話","あらきたの[寛],#ししだのいねを,[寛]ししたのいねを,#くらにあげて,[寛]くらにつみて,#あなひねひねし,[寛]あなうたうたし,#あがこふらくは,[寛]わかこふらくは,##"
16/3849,"猒世間無常歌二首","生死之 二海乎 猒見 潮干乃山乎 之努比鶴鴨","生き死にの二つの海を厭はしみ潮干の山を偲ひつるかも","いきしにの ふたつのうみを いとはしみ しほひのやまを しのひつるかも","（右歌二首河原寺之佛堂裏在倭琴面之）","なし","雑歌 無常 厭世 仏教 須弥山 華厳経 川原寺 明日香 奈良","いきしにの[寛],#ふたつのうみを[寛],#いとはしみ,[寛]いとひみて,#しほひのやまを[寛],#しのひつるかも[寛],##"
16/3850,"（猒世間無常歌二首）","世間之 繁借廬尓 住々而 将至國之 多附不知聞","世間の繁き仮廬に住み住みて至らむ国のたづき知らずも","よのなかの しげきかりほに すみすみて いたらむくにの たづきしらずも","右歌二首河原寺之佛堂裏在倭琴面之","なし","雑歌 仏教 厭世 世間虚仮 極楽 川原寺 明日香 奈良","よのなかの[寛],#しげきかりほに,[寛]しけきかりほに,#すみすみて[寛],#いたらむくにの[寛],#たづきしらずも,[寛]たつきしらすも,##"
16/3851,"なし","心乎之 無何有乃郷尓 置而有者 藐狐射能山乎 見末久知香谿務","心をし無何有の郷に置きてあらば藐孤射の山を見まく近けむ","こころをし むがうのさとに おきてあらば はこやのやまを みまくちかけむ","右歌一首","なし","雑歌 荘子 遁世 無心","こころをし[寛],#むがうのさとに,[寛]ふかうのさとに,#おきてあらば,[寛]おきたらは,#はこやのやまを[寛],#みまくちかけむ[寛],##"
16/3852,"なし","鯨魚取 海哉死為流 山哉死為流 死許曽 海者潮干而 山者枯為礼","鯨魚取り海や死にする山や死にする死ぬれこそ海は潮干て山は枯れすれ","いさなとり うみやしにする やまやしにする しぬれこそ うみはしほひて やまはかれすれ","右歌一首","なし","雑歌 枕詞 仏教 輪廻 無常 旋頭歌 譬喩","いさなとり[寛],#うみやしにする[寛],#やまやしにする[寛],#しぬれこそ,[寛]しねはこそ,#うみはしほひて[寛],#やまはかれすれ[寛],##"
16/3853,"嗤咲痩人歌二首","石麻呂尓 吾物申 夏痩尓 <吉>跡云物曽 武奈伎取<喫> [賣世反也]","石麻呂に我れ物申す夏痩せによしといふものぞ鰻捕り食せ [賣世反也]","いはまろに われものまをす なつやせに よしといふものぞ むなぎとりめせ","（右有吉田連老字曰石麻呂 所謂仁<敬>之子也 其老為人身體甚痩 雖多喫飲形以飢饉 <因>此大伴宿祢家持聊作斯歌以為戯咲也）","告 -> 吉 [類][古][紀] / 食 -> 喫 [尼][類]","雑歌 吉田老 作者：大伴家持 戯笑 嘲笑 動物","いはまろに,[寛]いしまろに,#われものまをす,[寛]われものまうす,#なつやせに[寛],#よしといふものぞ,[寛]よしといふものそ,#むなぎとりめせ,[寛]むなきとりめせ,##"
16/3854,"（嗤咲痩人歌二首）","痩々母 生有者将在乎 波多也波多 武奈伎乎漁取跡 河尓流勿","痩す痩すも生けらばあらむをはたやはた鰻を捕ると川に流るな","やすやすも いけらばあらむを はたやはた むなぎをとると かはにながるな","右有吉田連老字曰石麻呂 所謂仁<敬>之子也 其老為人身體甚痩 雖多喫飲形以飢饉 <因>此大伴宿祢家持聊作斯歌以為戯咲也","漁取 [尼][類] 漁 / 教 -> 敬 [尼][類][古] / <> -> 因 [西（右書）][尼][類][古]","雑歌 作者：大伴家持 吉田老 戯笑 嘲笑 動物","やすやすも,[寛]やせやせも,#いけらばあらむを,[寛]いけらはあらむを,#はたやはた[寛],#むなぎをとると,[寛]むなきをとると,#かはにながるな,[寛]かはになかるな,##"
16/3855,"高宮王詠數首物歌二首","コ莢尓 延於保登礼流 屎葛 絶事無 宮将為","さう莢に延ひおほとれる屎葛絶ゆることなく宮仕へせむ","さうけふに はひおほとれる くそかづら たゆることなく みやつかへせむ","なし","なし","雑歌 作者：高宮王 物名 宴席 即興 植物","さうけふに,[寛]ふちのきに,#はひおほとれる[寛],#くそかづら,[寛]くそかつら,#たゆることなく[寛],#みやつかへせむ[寛],##"
16/3856,"（高宮王詠數首物歌二首）","波羅門乃 作有流小田乎 喫烏 <瞼>腫而 幡幢尓居","波羅門の作れる小田を食む烏瞼腫れて幡桙に居り","ばらもにの つくれるをだを はむからす まなぶたはれて はたほこにをり","なし","サ -> 瞼 [古][紀][矢][京]","雑歌 作者：高宮王 物名 宴席 即興 動物","ばらもにの,[寛]はらもんの,#つくれるをだを,[寛]つくれるをたを,#はむからす[寛],#まなぶたはれて,[寛]まなふたはれて,#はたほこにをり[寛],##"
16/3857,"戀夫君歌一首","飯喫騰 味母不在 雖行徃 安久毛不有 赤根佐須 君之情志 忘可祢津藻","飯食めど うまくもあらず 行き行けど 安くもあらず あかねさす 君が心し 忘れかねつも","いひはめど うまくもあらず ゆきゆけど やすくもあらず あかねさす きみがこころし わすれかねつも","右歌一首傳云 佐為王有近習婢也 于時宿直不遑夫君難遇 感情馳結係戀實深 於是當宿之夜夢裏相見 覺寤<探>抱曽無觸手 尓乃哽咽歔欷高聲吟詠此歌 因王聞之哀慟永免侍宿也","採 -> 探 [尼][紀]","雑歌 枕詞 伝承 佐為王婢 遊仙窟 恋情 誦詠","いひはめど,[寛]いひはめと,#うまくもあらず,[寛]うまくもあらす,#ゆきゆけど,[寛]ありけとも,#やすくもあらず,[寛]やすくもあらす,#あかねさす[寛],#きみがこころし,[寛]きみかこころし,#わすれかねつも[寛],##"
16/3858,"なし","比来之 吾戀力 記集 功尓申者 五位乃冠","このころの我が恋力記し集め功に申さば五位の冠","このころの あがこひぢから しるしあつめ くうにまをさば ごゐのかがふり","（右歌二首）","なし","雑歌 恋情 戯笑 嘲笑 誦詠 宴席","このころの[寛],#あがこひぢから,[寛]わかこひちから,#しるしあつめ[寛],#くうにまをさば,[寛]くうにまうさは,#ごゐのかがふり,[寛]こゐのかうふり,##"
16/3859,"なし","<頃>者之 吾戀力 不給者 京兆尓 出而将訴","このころの我が恋力賜らずはみさとづかさに出でて訴へむ","このころの あがこひぢから たばらずは みさとづかさに いでてうれへむ","右歌二首","項 -> 頃 [温][細]","雑歌 恋情 戯笑 嘲笑 誦詠 宴席","このころの[寛],#あがこひぢから,[寛]わかこひちから,#たばらずは,[寛]たまはすは,#みさとづかさに,[寛]みやこにいてて,#いでてうれへむ,[寛]いててうたへまうさむ,##"
16/3860,"筑前國志賀白水郎歌十首","王之 不遣尓 情進尓 行之荒雄良 奥尓袖振","大君の遣はさなくにさかしらに行きし荒雄ら沖に袖振る","おほきみの つかはさなくに さかしらに ゆきしあらをら おきにそでふる","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 代作 福岡 志賀島 神亀 年紀","おほきみの[寛],#つかはさなくに,[寛]つかはささるに,#さかしらに[寛],#ゆきしあらをら[寛],#おきにそでふる,[寛]おきにそてふる,##"
16/3861,"（筑前國志賀白水郎歌十首）","荒雄良乎 将来可不来可等 飯盛而 門尓出立 雖待来不座","荒雄らを来むか来じかと飯盛りて門に出で立ち待てど来まさず","あらをらを こむかこじかと いひもりて かどにいでたち まてどきまさず","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 福岡 志賀島 神亀 年紀","あらをらを[寛],#こむかこじかと,[寛]こむかこしかと,#いひもりて[寛],#かどにいでたち,[寛]かとにいてたち,#まてどきまさず,[寛]まてときまさす,##"
16/3862,"（筑前國志賀白水郎歌十首）","志賀乃山 痛勿伐 荒雄良我 余須可乃山跡 見管将偲","志賀の山いたくな伐りそ荒雄らがよすかの山と見つつ偲はむ","しかのやま いたくなきりそ あらをらが よすかのやまと みつつしのはむ","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","しかのやま[寛],#いたくなきりそ[寛],#あらをらが,[寛]あらをらか,#よすかのやまと[寛],#みつつしのはむ[寛],##"
16/3863,"（筑前國志賀白水郎歌十首）","荒雄良我 去尓之日従 志賀乃安麻乃 大浦田沼者 不樂有哉","荒雄らが行きにし日より志賀の海人の大浦田沼は寂しくもあるか","あらをらが ゆきにしひより しかのあまの おほうらたぬは さぶしくもあるか","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","あらをらが,[寛]あらをらか,#ゆきにしひより[寛],#しかのあまの[寛],#おほうらたぬは[寛],#さぶしくもあるか,[寛]かなしくもあるか,##"
